kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8749844,K07909.01,,FALSE POSITIVE,FALSE POSITIVE,0.231,1,0,0,0,361.51099,0.01022,-0.01022,0.443,4.868,235.9,6.85,1.1,-3.29,733.0,68.36,9.3,1.0,q1_q17_dr25_tce,9492.0,3.619,4.298,290.40793,44.96394,12.973
8962007,K07917.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,0,0,1,0,1.41435861,1.44e-05,-1.44e-05,0.189,2.285,56.8,0.74,0.25,-0.13,1578.0,1458.2,9.5,1.0,q1_q17_dr25_tce,5470.0,4.366,0.994,294.94873,45.210251,14.842
8703491,K07906.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.616343903,3.49e-07,-3.49e-07,0.042,0.7656,161.4,1.72,0.56,-0.34,2513.0,9411.28,77.8,1.0,q1_q17_dr25_tce,6045.0,4.264,1.34,296.81982,44.869434,12.19
9043947,K07920.01,,CANDIDATE,CANDIDATE,0.869,0,0,0,0,1.04347858,1.071e-05,-1.071e-05,0.497,2.012,22.5,1.09,0.2,-0.39,2688.0,12313.82,8.6,1.0,q1_q17_dr25_tce,6014.0,3.843,2.246,298.25204,45.396641,13.292
9079587,K07921.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,364.33929,0.01451,-0.01451,0.934,13.486,1944.0,4.4,1.0,-0.42,228.0,0.64,15.9,1.0,q1_q17_dr25_tce,5606.0,4.557,0.8,287.71542,45.436329,15.616
8703506,K07907.01,,FALSE POSITIVE,FALSE POSITIVE,0.019,0,1,0,0,352.710091,0.00774,-0.00774,0.329,2.901,1658.0,3.75,1.19,-0.4,261.0,1.09,9.6,1.0,q1_q17_dr25_tce,6112.0,4.513,0.908,296.82361,44.855309,15.672
8590776,K07900.01,,FALSE POSITIVE,FALSE POSITIVE,0.034,1,0,0,0,33.8938177,0.000619,-0.000619,0.332,2.012,205.1,1.22,0.35,-0.11,527.0,18.27,6.8,1.0,q1_q17_dr25_tce,5818.0,4.554,0.848,301.16556,44.664108,14.517
8761550,K07912.01,,FALSE POSITIVE,FALSE POSITIVE,0.01,1,0,0,0,224.591055,0.00349,-0.00349,0.768,3.232,125.2,2.17,0.36,-0.68,392.0,5.56,8.2,2.0,q1_q17_dr25_tce,5786.0,3.992,1.771,294.86639,44.980991,12.238
8686761,K07904.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,374.93999098,,,0.64,17.0849,235.1,4.67,1.43,-3.1,381.0,4.99,8.4,1.0,q1_q17_dr25_tce,5382.0,3.645,2.909,290.87735,44.861591,13.917
8873450,K07913.01,Kepler-1975 b,CONFIRMED,CANDIDATE,0.0,0,0,0,0,24.2783801,0.0003588,-0.0003588,0.717,4.564,714.4,2.03,0.08,-0.17,432.0,8.27,13.6,6.0,q1_q17_dr25_tce,4450.0,4.583,0.707,286.74857,45.158741,14.164
